0.001	-0.233471
0.002	-0.238535
0.003	-0.238242
0.004	-0.234666
0.005	-0.235235
0.006	-0.237701
0.007	-0.238442
0.008	-0.237531
0.009	-0.238771
0.01	-0.236596
0.011	-0.237771
0.012	-0.237131
0.013	-0.238125
0.014	-0.238831
0.015	-0.240821
0.016	-0.241682
0.017	-0.241698
0.018	-0.24112
0.019	-0.241644
0.02	-0.242807
0.021	-0.243479
0.022	-0.244332
0.023	-0.244064
0.024	-0.243654
0.025	-0.242698
0.026	-0.242408
0.027	-0.242841
0.028	-0.243373
0.029	-0.243918
0.03	-0.243663
0.031	-0.243736
0.032	-0.243949
0.033	-0.243793
0.034	-0.244638
0.035	-0.244449
0.036	-0.244679
0.037	-0.244492
0.038	-0.244387
0.039	-0.244089
0.04	-0.243348
0.041	-0.243755
0.042	-0.243523
0.043	-0.243179
0.044	-0.243219
0.045	-0.243503
0.046	-0.243418
0.047	-0.243999
0.048	-0.244247
0.049	-0.24465
0.05	-0.244468
0.051	-0.244804
0.052	-0.244877
0.053	-0.245356
0.054	-0.245784
0.055	-0.245216
0.056	-0.245423
0.057	-0.245953
0.058	-0.246861
0.059	-0.247369
0.06	-0.247247
0.061	-0.246627
0.062	-0.246638
0.063	-0.247022
0.064	-0.24698
0.065	-0.246711
0.066	-0.247166
0.067	-0.247718
0.068	-0.248425
0.069	-0.248228
0.07	-0.248278
0.071	-0.247654
0.072	-0.247491
0.073	-0.247861
0.074	-0.247248
0.075	-0.247069
0.076	-0.246984
0.077	-0.247147
0.078	-0.247146
0.079	-0.246854
0.08	-0.247099
0.081	-0.246924
0.082	-0.246942
0.083	-0.24697
0.084	-0.246965
0.085	-0.247098
0.086	-0.247097
0.087	-0.24729
0.088	-0.247128
0.089	-0.2472
0.09	-0.24707
0.091	-0.247197
0.092	-0.246778
0.093	-0.246805
0.094	-0.246537
0.095	-0.246417
0.096	-0.246503
0.097	-0.246206
0.098	-0.246153
0.099	-0.24663

